Date,new_downloads,new_deaths,cumulative_downloads,cumulative_deaths
Aug-20,107165,297,107165,297
Oct-20,4775535,3507,4882700,3804
Nov-20,967642,8660,5850342,12464
Dec-20,857970,10678,6708312,23142
Jan-21,291753,19625,7000065,42767
Feb-21,291753,9532,7291818,52299
Mar-21,350919,2853,7642737,55152
Apr-21,1037759,713,8680496,55865
May-21,1213672,273,9894168,56138
Jun-21,1632917,329,11527085,56467
Jul-21,1110322,1218,12637407,57685
Aug-21,437912,2346,13075319,60031
Sep-21,520983,2741,13596302,62772
Oct-21,343670,2809,13939972,65581
Nov-21,342980,3002,14282952,68583
Dec-21,751088,2958,15034040,71541
Jan-22,537782,4292,15571822,75833
